Day_of_Week,Age_of_Driver,Sex,Educational_Level,Vehicle_Driver,Driving_Experience,Speed_Limit,Weather,Road_Light_Conditions,Road_Surface_Conditions,Cause_of_Accident,Accident_Severity
Sunday,57,Male,Illiterate,Taxi,18,50,Fog,Daylight,Ice,Mechanical Failure,Slight Injury
Thursday,62,Male,Primary,Taxi,1,100,Rain,Night,Wet,Distracted,Fatal Injury
Friday,49,Female,Illiterate,Motorcycle,23,70,Rain,Night,Dry,Overspeed,Serious Injury
Sunday,46,Female,Secondary,Taxi,22,100,Rain,Daylight,Wet,Drunk Driving,Fatal Injury
Wednesday,68,Male,Secondary,Lorry,1,60,Clear,Night,Ice,Weather,Serious Injury
Friday,20,Male,Primary,Motorcycle,5,80,Clear,Twilight,Snow,Weather,Serious Injury
Friday,57,Male,Tertiary,Lorry,18,60,Rain,Twilight,Snow,Mechanical Failure,Slight Injury
Sunday,51,Male,Tertiary,Motorcycle,7,70,Rain,Night,Wet,Overspeed,Fatal Injury
Tuesday,57,Male,Secondary,Taxi,25,50,Fog,Daylight,Dry,Overspeed,Serious Injury
Wednesday,44,Male,Tertiary,Lorry,28,30,Fog,Daylight,Ice,Distracted,Slight Injury
Sunday,30,Female,Secondary,Lorry,2,40,Cloudy,Daylight,Snow,Fatigue,Serious Injury
Wednesday,62,Male,Primary,Lorry,25,30,Fog,Night,Wet,Fatigue,Slight Injury
Wednesday,50,Male,Primary,Motorcycle,13,100,Fog,Night,Dry,Fatigue,Serious Injury
Friday,23,Female,Secondary,Bus,24,40,Fog,Twilight,Dry,Weather,Slight Injury
Thursday,41,Male,Primary,Taxi,15,40,Clear,Daylight,Snow,Weather,Slight Injury
Wednesday,36,Male,Illiterate,Lorry,0,100,Fog,Night,Snow,Drunk Driving,Fatal Injury
Saturday,33,Male,Illiterate,Bus,20,100,Fog,Night,Ice,Weather,Serious Injury
Friday,57,Male,Primary,Taxi,2,50,Rain,Night,Dry,Weather,Serious Injury
Tuesday,45,Male,Secondary,Taxi,21,70,Clear,Daylight,Ice,Overspeed,Serious Injury
Thursday,50,Female,Secondary,Lorry,25,30,Cloudy,Daylight,Dry,Drunk Driving,Slight Injury
Saturday,65,Male,Primary,Lorry,17,70,Cloudy,Twilight,Dry,Overspeed,Serious Injury
Saturday,58,Female,Tertiary,Motorcycle,8,60,Fog,Daylight,Wet,Distracted,Slight Injury
Tuesday,30,Female,Illiterate,Bus,5,50,Cloudy,Night,Snow,Distracted,Slight Injury
Thursday,60,Male,Tertiary,Bus,22,50,Cloudy,Twilight,Dry,Drunk Driving,Slight Injury
Friday,62,Female,Secondary,Lorry,20,60,Cloudy,Daylight,Ice,Drunk Driving,Serious Injury
Monday,42,Male,Secondary,Taxi,24,30,Fog,Daylight,Snow,Weather,Slight Injury
Thursday,59,Female,Tertiary,Lorry,0,80,Cloudy,Daylight,Ice,Distracted,Serious Injury
Tuesday,53,Female,Primary,Taxi,20,60,Fog,Daylight,Snow,Mechanical Failure,Slight Injury
Saturday,44,Male,Tertiary,Taxi,26,30,Rain,Night,Snow,Fatigue,Slight Injury
Friday,55,Male,Tertiary,Lorry,9,40,Rain,Daylight,Dry,Weather,Slight Injury
Thursday,24,Male,Illiterate,Automobile,26,100,Cloudy,Night,Wet,Fatigue,Serious Injury
Monday,22,Male,Illiterate,Bus,5,50,Rain,Night,Dry,Distracted,Slight Injury
Monday,60,Male,Tertiary,Taxi,22,30,Fog,Night,Snow,Fatigue,Slight Injury
Wednesday,62,Female,Tertiary,Taxi,11,70,Rain,Twilight,Dry,Mechanical Failure,Serious Injury
Wednesday,68,Female,Secondary,Automobile,3,100,Cloudy,Night,Dry,Mechanical Failure,Slight Injury
Sunday,48,Female,Illiterate,Motorcycle,27,70,Fog,Daylight,Snow,Overspeed,Fatal Injury
Tuesday,40,Female,Illiterate,Automobile,12,100,Clear,Twilight,Snow,Drunk Driving,Serious Injury
Thursday,59,Female,Secondary,Automobile,16,50,Fog,Daylight,Dry,Fatigue,Slight Injury
Thursday,27,Female,Primary,Taxi,26,60,Rain,Night,Dry,Mechanical Failure,Slight Injury
Sunday,49,Female,Illiterate,Bus,7,80,Clear,Daylight,Dry,Drunk Driving,Serious Injury
Saturday,60,Male,Illiterate,Automobile,25,60,Fog,Twilight,Ice,Drunk Driving,Serious Injury
Saturday,47,Male,Primary,Motorcycle,19,30,Clear,Twilight,Dry,Overspeed,Slight Injury
Sunday,56,Female,Illiterate,Lorry,2,60,Clear,Daylight,Ice,Drunk Driving,Serious Injury
Saturday,48,Female,Illiterate,Automobile,11,50,Clear,Daylight,Wet,Drunk Driving,Serious Injury
Wednesday,35,Male,Primary,Automobile,6,30,Fog,Daylight,Ice,Weather,Slight Injury
Thursday,53,Male,Primary,Motorcycle,11,40,Rain,Twilight,Dry,Distracted,Slight Injury
Sunday,19,Male,Tertiary,Bus,1,60,Fog,Night,Wet,Overspeed,Fatal Injury
Thursday,31,Male,Secondary,Automobile,23,60,Rain,Daylight,Ice,Overspeed,Serious Injury
Monday,30,Female,Secondary,Automobile,13,80,Fog,Night,Ice,Fatigue,Serious Injury
Wednesday,46,Male,Primary,Bus,21,30,Fog,Twilight,Snow,Drunk Driving,Serious Injury
Friday,29,Female,Primary,Motorcycle,22,70,Fog,Daylight,Wet,Fatigue,Serious Injury
Wednesday,56,Female,Illiterate,Automobile,29,60,Rain,Daylight,Snow,Weather,Slight Injury
Sunday,19,Female,Tertiary,Bus,4,50,Fog,Twilight,Wet,Mechanical Failure,Serious Injury
Friday,49,Male,Tertiary,Automobile,8,60,Clear,Daylight,Ice,Drunk Driving,Serious Injury
Monday,30,Male,Primary,Lorry,20,80,Fog,Night,Snow,Mechanical Failure,Serious Injury
Sunday,63,Female,Illiterate,Taxi,10,40,Clear,Twilight,Dry,Distracted,Slight Injury
Tuesday,44,Female,Illiterate,Lorry,4,80,Cloudy,Twilight,Ice,Weather,Serious Injury
Thursday,66,Female,Secondary,Automobile,2,60,Cloudy,Daylight,Wet,Drunk Driving,Serious Injury
